ProductID,ProductName,Category,SubCategory,UnitPrice,UnitsInStock,UnitsOnOrder,Discontinued,SupplierID
309,Консольный столик,Мебель,Прихожая,150.00,45,6,0,6
310,Пуф для хранения,Мебель,Гостиная,80.00,60,9,0,7
311,Передвижная тележка,Мебель,Хранение,90.00,55,10,0,6
312,Изголовье кровати,Мебель,Спальня,160.00,30,4,0,7
313,Зеркало для макияжа,Мебель,Спальня,110.00,40,7,0,6
314,Барные стулья,Мебель,Кухня,140.00,25,3,0,7
315,Органайзер для стола,Мебель,Офис,20.00,200,30,0,6
316,Книжная полка угловая,Мебель,Хранение,130.00,45,8,0,7
317,Диван угловой серый,Мебель,Гостиная,800.00,15,2,0,6
318,Кровать металлическая,Мебель,Спальня,220.00,20,4,0,7
319,Туалетный столик с зеркалом,Мебель,Спальня,180.00,30,5,0,6
320,Кресло реклайнер кожаное,Мебель,Гостиная,600.00,10,1,0,7
401,Кофеварка Mr. Coffee,Техника для кухни,Кухня,45.00,120,20,0,8
402,Тостерница Black & Decker,Техника для кухни,Кухня,55.00,80,15,0,9
403,Блендер Ninja Pro,Техника для кухни,Кухня,90.00,60,10,0,8
404,Микроволновая печь,Техника для кухни,Кухня,80.00,70,12,0,9
405,Пылесос Dyson,Техника для дома,Дом,400.00,50,8,0,8
406,Аэрогриль Philips,Техника для кухни,Кухня,120.00,90,18,0,9
407,Электрический чайник Cuisinart,Техника для кухни,Кухня,65.00,100,16,0,8
408,Кухонный комбайн KitchenAid,Техника для кухни,Кухня,250.00,25,5,0,9
409,Мороженица Hamilton,Техника для кухни,Кухня,60.00,75,11,0,8
410,Вафельница бельгийская,Техника для кухни,Кухня,70.00,85,14,0,9
411,Фритюрница электрическая,Техника для кухни,Кухня,75.00,60,9,0,8
412,Консервный нож электрический,Техника для кухни,Кухня,30.00,150,22,0,9
413,Рисоварка Aroma,Техника для кухни,Кухня,40.00,110,19,0,8
414,Увлажнитель воздуха,Техника для дома,Дом,50.00,90,13,0,9
415,Мультиварка Instant Pot,Техника для кухни,Кухня,150.00,45,7,0,8
416,Чайник электрический гусиная шея,Техника для кухни,Кухня,85.00,55,10,0,9
417,Соковыжималка Omega,Техника для кухни,Кухня,300.00,30,6,0,8
418,Миксер KitchenAid,Техника для кухни,Кухня,500.00,20,3,0,9
419,Переносная стиральная машина,Техника для дома,Дом,200.00,35,5,0,8
420,Осушитель воздуха,Техника для дома,Дом,180.00,40,7,0,9
501,Книга "Властелин Колец",Книги,Фантастика,25.00,100,10,0,10
502,Книга "Гордость и предубеждение",Книги,Классика,15.00,150,15,0,11
503,Книга "1984",Книги,Антиутопия,18.00,120,12,0,10
504,Книга "Автостопом по галактике",Книги,Фантастика,12.00,200,20,0,11
505,Книга "Sapiens",Книги,Нон-фикшн,28.00,80,8,0,10
506,Книга "Becoming",Книги,Автобиография,20.00,110,11,0,11
507,Книга "Атомные привычки",Книги,Саморазвитие,22.00,90,9,0,10
508,Книга "Думай медленно... решай быстро",Книги,Психология,30.00,70,7,0,11
509,Книга "Марсианин",Книги,Фантастика,17.00,140,14,0,10
510,Книга "Образованная",Книги,Автобиография,25.00,95,9,0,11
511,Книга "Дюна",Книги,Фантастика,30.00,85,7,0,10
512,Книга "Сила привычки",Книги,Саморазвитие,22.00,115,13,0,11
513,Книга "Молчаливая пациентка",Книги,Триллер,18.00,130,11,0,10
514,Книга "Фактологичность",Книги,Нон-фикшн,27.00,75,6,0,11
515,Книга "Там, где раки поют",Книги,Художественная литература,20.00,105,10,0,10
516,Книга "Начни с "Почему"",Книги,Саморазвитие,24.00,80,8,0,11
517,Книга "Алхимик",Книги,Художественная литература,15.00,160,16,0,10
518,Книга "Sapiens: Краткая история...",Книги,Нон-фикшн,29.00,70,7,0,11
519,Книга "Девушка с татуировкой дракона",Книги,Триллер,25.00,90,9,0,10
520,Книга "7 навыков высокоэффективных людей",Книги,Саморазвитие,21.00,100,12,0,11
601,Кофе зерно Арабика,Бакалея,Кофе и чай,15.00,50,5,0,12
602,Чай в пакетиках Эрл Грей,Бакалея,Кофе и чай,8.00,75,7,0,13
603,Макароны Спагетти,Бакалея,Продукты первой необходимости,2.00,100,10,0,12
604,Помидоры консервированные,Бакалея,Продукты первой необходимости,3.00,120,12,0,13
605,Масло оливковое Extra Virgin,Бакалея,Продукты первой необходимости,12.00,60,6,0,12
606,Уксус бальзамический,Бакалея,Продукты первой необходимости,10.00,50,5,0,13
607,Соль гималайская розовая,Бакалея,Продукты первой необходимости,5.00,150,15,0,12
608,Перец черный молотый,Бакалея,Продукты первой необходимости,7.00,100,10,0,13
609,Мука пшеничная,Бакалея,Продукты первой необходимости,4.00,80,8,0,12
610,Сахар песок,Бакалея,Продукты первой необходимости,6.00,90,9,0,13
701,Корм для собак сухой,Зоотовары,Для собак,20.00,60,5,0,14
702,Корм для кошек влажный,Зоотовары,Для кошек,15.00,70,7,0,15
703,Поводок кожаный,Зоотовары,Для собак,12.00,80,8,0,14
704,Наполнитель для кошачьего туалета,Зоотовары,Для кошек,10.00,90,9,0,15
705,Игрушки для собак канат,Зоотовары,Для собак,8.00,100,10,0,14
706,Когтеточка,Зоотовары,Для кошек,25.00,50,6,0,15
707,Лежанка для собак,Зоотовары,Для собак,40.00,40,4,0,14
708,Миска керамическая,Зоотовары,Для кошек,18.00,65,7,0,15
709,Лакомства для собак,Зоотовары,Для собак,10.00,110,11,0,14
710,Игрушки для кошек,Зоотовары,Для кошек,6.00,120,12,0,15
